id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year
1773,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
1774,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
1775,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
1776,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
1777,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
1778,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
1779,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
1780,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1781,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1782,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1783,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1784,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1785,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1786,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1787,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1788,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1789,2MASSW J2224438-015852,,22h 24m 43.81s,−1° 58′ 52.1″,,38,L4.5,61,0.99,n/a
1790,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
1791,2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6,42,0.94,2013
